ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi,name,call_put,exercise_price,list_date,delist_date
MO2604-C-8400.CFX,20260119,CFFEX,268.0,,295.6,330.0,294.4,302.2,291.4,113.0,338.88,56.0,中证1000指数期权2604认购8400,C,8400.0,20260119,20260417
MO2604-C-8500.CFX,20260119,CFFEX,233.8,,260.8,291.0,260.8,266.2,260.6,37.0,95.918,6.0,中证1000指数期权2604认购8500,C,8500.0,20260119,20260417
MO2604-C-8600.CFX,20260119,CFFEX,203.2,,242.6,263.2,232.6,233.6,230.0,165.0,391.262,30.0,中证1000指数期权2604认购8600,C,8600.0,20260119,20260417
MO2604-C-8700.CFX,20260119,CFFEX,175.6,,213.4,237.4,211.8,211.8,203.8,37.0,74.568,7.0,中证1000指数期权2604认购8700,C,8700.0,20260119,20260417
MO2604-C-8800.CFX,20260119,CFFEX,151.4,,215.2,215.2,187.2,187.2,181.0,9.0,17.466,7.0,中证1000指数期权2604认购8800,C,8800.0,20260119,20260417
MO2604-C-8900.CFX,20260119,CFFEX,129.8,,179.6,196.8,166.6,168.0,160.4,54.0,97.206,32.0,中证1000指数期权2604认购8900,C,8900.0,20260119,20260417
MO2604-C-9000.CFX,20260119,CFFEX,110.8,,164.6,178.8,144.8,146.6,142.8,98.0,159.41,54.0,中证1000指数期权2604认购9000,C,9000.0,20260119,20260417
MO2604-C-9100.CFX,20260119,CFFEX,94.2,,150.0,164.8,126.6,129.0,129.0,491.0,710.294,182.0,中证1000指数期权2604认购9100,C,9100.0,20260119,20260417
MO2604-P-7400.CFX,20260119,CFFEX,122.4,,103.0,117.2,86.6,95.6,96.0,446.0,445.79,239.0,中证1000指数期权2604认沽7400,P,7400.0,20260119,20260417
MO2604-P-7500.CFX,20260119,CFFEX,148.6,,142.8,142.8,107.0,117.6,120.4,145.0,168.314,98.0,中证1000指数期权2604认沽7500,P,7500.0,20260119,20260417
MO2604-P-7600.CFX,20260119,CFFEX,178.4,,170.8,170.8,129.8,143.8,147.0,154.0,222.87,77.0,中证1000指数期权2604认沽7600,P,7600.0,20260119,20260417
MO2604-P-7700.CFX,20260119,CFFEX,212.2,,204.0,204.0,160.0,174.2,178.0,26.0,46.642,14.0,中证1000指数期权2604认沽7700,P,7700.0,20260119,20260417
MO2604-P-7800.CFX,20260119,CFFEX,250.0,,242.4,244.8,191.2,205.8,213.4,101.0,216.37,55.0,中证1000指数期权2604认沽7800,P,7800.0,20260119,20260417
MO2604-P-7900.CFX,20260119,CFFEX,291.6,,269.2,269.2,234.4,250.4,254.4,30.0,75.862,15.0,中证1000指数期权2604认沽7900,P,7900.0,20260119,20260417
MO2604-P-8000.CFX,20260119,CFFEX,337.6,,316.8,316.8,282.8,293.6,298.6,18.0,52.152,9.0,中证1000指数期权2604认沽8000,P,8000.0,20260119,20260417
MO2604-P-8100.CFX,20260119,CFFEX,387.6,,392.4,392.4,328.0,340.6,348.6,36.0,127.544,11.0,中证1000指数期权2604认沽8100,P,8100.0,20260119,20260417
MO2604-P-8200.CFX,20260119,CFFEX,441.6,,450.2,450.6,379.4,398.8,403.2,100.0,404.416,60.0,中证1000指数期权2604认沽8200,P,8200.0,20260119,20260417
MO2604-P-8300.CFX,20260119,CFFEX,499.4,,490.6,490.6,438.2,456.0,456.0,17.0,79.132,8.0,中证1000指数期权2604认沽8300,P,8300.0,20260119,20260417
MO2604-P-8400.CFX,20260119,CFFEX,561.2,,582.8,582.8,501.4,507.2,524.0,18.0,96.048,8.0,中证1000指数期权2604认沽8400,P,8400.0,20260119,20260417
MO2604-P-8500.CFX,20260119,CFFEX,626.6,,656.2,656.2,564.6,564.6,592.0,6.0,35.896,6.0,中证1000指数期权2604认沽8500,P,8500.0,20260119,20260417
MO2604-P-8600.CFX,20260119,CFFEX,695.6,,692.6,692.6,645.6,645.6,662.4,4.0,26.764,4.0,中证1000指数期权2604认沽8600,P,8600.0,20260119,20260417
MO2604-P-8700.CFX,20260119,CFFEX,767.6,,806.2,806.2,767.6,767.6,736.0,4.0,31.476,4.0,中证1000指数期权2604认沽8700,P,8700.0,20260119,20260417
MO2604-P-8800.CFX,20260119,CFFEX,843.0,,885.2,885.2,885.2,885.2,812.6,2.0,17.704,2.0,中证1000指数期权2604认沽8800,P,8800.0,20260119,20260417
MO2604-P-8900.CFX,20260119,CFFEX,921.0,,,,,921.0,892.0,0.0,0.0,0.0,中证1000指数期权2604认沽8900,P,8900.0,20260119,20260417
MO2604-P-9000.CFX,20260119,CFFEX,1001.6,,,,,1001.6,973.8,0.0,0.0,0.0,中证1000指数期权2604认沽9000,P,9000.0,20260119,20260417
MO2604-P-9100.CFX,20260119,CFFEX,1084.8,,,,,1084.8,1052.0,0.0,0.0,0.0,中证1000指数期权2604认沽9100,P,9100.0,20260119,20260417
MO2606-C-5200.CFX,20260119,CFFEX,2774.4,2880.4,2782.2,2867.0,2782.2,2867.0,2826.8,4.0,112.906,226.0,中证1000指数期权2606认购5200,C,5200.0,20250623,20260622
MO2606-C-5400.CFX,20260119,CFFEX,2603.6,2566.2,2580.0,2580.0,2580.0,2580.0,2633.6,2.0,51.836,121.0,中证1000指数期权2606认购5400,C,5400.0,20250623,20260622
MO2606-C-5600.CFX,20260119,CFFEX,2408.2,2429.2,,,,2429.2,2442.0,0.0,0.0,244.0,中证1000指数期权2606认购5600,C,5600.0,20250623,20260622
MO2606-C-5800.CFX,20260119,CFFEX,2221.4,2239.4,2297.0,2297.0,2272.0,2283.2,2245.0,11.0,251.334,137.0,中证1000指数期权2606认购5800,C,5800.0,20250623,20260622
MO2606-C-6000.CFX,20260119,CFFEX,2034.6,1973.4,2063.0,2063.0,2063.0,2063.0,2060.4,2.0,40.976,450.0,中证1000指数期权2606认购6000,C,6000.0,20250623,20260622
MO2606-C-6200.CFX,20260119,CFFEX,1842.2,1815.8,1810.2,1922.0,1810.2,1915.0,1868.4,22.0,411.224,886.0,中证1000指数期权2606认购6200,C,6200.0,20250623,20260622
MO2606-C-6400.CFX,20260119,CFFEX,1652.0,1652.0,1665.0,1741.2,1665.0,1741.2,1670.6,5.0,85.274,827.0,中证1000指数期权2606认购6400,C,6400.0,20250623,20260622
MO2606-C-6600.CFX,20260119,CFFEX,1477.8,1469.0,1440.0,1539.8,1440.0,1539.0,1501.2,9.0,136.434,672.0,中证1000指数期权2606认购6600,C,6600.0,20250623,20260622
MO2606-C-6800.CFX,20260119,CFFEX,1296.2,1296.2,1282.4,1361.4,1282.4,1336.0,1343.4,29.0,385.49,571.0,中证1000指数期权2606认购6800,C,6800.0,20250624,20260622
